Epoch,MSE,C-Index,RM2,Pearson,AUPR
1,0.75630504,0.772115052,0.244664321,0.498392259,0.541616766
2,0.6187586,0.795839241,0.337656947,0.581920968,0.417018002
3,0.58878416,0.794621677,0.358179711,0.604199915,0.466840082
4,0.6021875,0.78419535,0.349336756,0.605774346,0.484462573
5,0.6008062,0.79198546,0.357946749,0.61206859,0.470201766
6,0.60919374,0.794293241,0.357050181,0.615556235,0.470201766
7,0.5526769,0.799922214,0.381592208,0.621763703,0.455102054
8,0.49347317,0.806963254,0.390395846,0.631687613,0.46960376
9,0.584632,0.799614377,0.396320816,0.635811965,0.455773662
10,0.5032061,0.805501182,0.377815479,0.634724493,0.465230461
11,0.5070358,0.817659359,0.388313953,0.643531784,0.471710744
12,0.5354016,0.795324954,0.367445801,0.637198179,0.442729238
13,0.4834111,0.819950063,0.423524111,0.658265738,0.488290565
14,0.5166418,0.824338576,0.433395357,0.660674481,0.481907731
15,0.4880226,0.826175718,0.435930068,0.666954781,0.470008275
16,0.5571894,0.824748106,0.441133725,0.679011262,0.527295861
17,0.4621998,0.834684803,0.452594339,0.692678103,0.531645335
18,0.45414922,0.836561689,0.475157172,0.699770824,0.537913917
19,0.4206804,0.838937623,0.489986492,0.704501584,0.536115669
20,0.44880122,0.839463396,0.503475004,0.710475001,0.576067042
21,0.45861226,0.838023838,0.479916162,0.716622398,0.563721267
22,0.41888556,0.835892565,0.493414517,0.726634555,0.58849466
23,0.5047831,0.846084262,0.508350931,0.730295958,0.569116435
24,0.4380391,0.850330649,0.543658841,0.74216595,0.593955335
25,0.40769514,0.850660463,0.528767299,0.752224808,0.59742637
26,0.47974432,0.847646419,0.52948974,0.754988389,0.582420619
27,0.4306129,0.84983497,0.554053512,0.760378395,0.608308219
28,0.3708848,0.855698496,0.568864801,0.766345176,0.635980504
29,0.36090058,0.861483378,0.583849136,0.776371201,0.645791896
30,0.34531975,0.86088279,0.568275532,0.771998337,0.617678535
31,0.33275533,0.865184465,0.588965953,0.778384679,0.636343393
32,0.4375367,0.861807679,0.577909715,0.77570361,0.613352879
33,0.3620743,0.857289293,0.584734032,0.777541067,0.620791546
34,0.34539026,0.868831413,0.614222912,0.785352344,0.637030906
35,0.39612588,0.863042013,0.572643874,0.784081546,0.621708809
36,0.36520258,0.859437029,0.565385989,0.776283541,0.62521457
37,0.3129535,0.868677342,0.603828935,0.788336691,0.626762519
38,0.33065656,0.866507092,0.611912852,0.790461845,0.640259534
39,0.3105516,0.872519482,0.595335398,0.792811723,0.648462269
40,0.34106258,0.869913896,0.628896582,0.793857966,0.624878278
41,0.3154531,0.868502671,0.628703493,0.794644825,0.644572599
